Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),label
91,11.1,76.6,38.8,8.6,12.7,88,Unbalanced
282,12.0,54.0,6.6,2.2,29.4,198,Balanced
563,46.0,19.4,34.3,6.6,23.2,570,Balanced
566,45.4,8.8,44.5,4.8,28.2,527,Balanced
315,9.1,67.7,39.1,3.8,20.8,612,Balanced
216,11.5,24.5,2.6,9.3,1.7,369,Balanced
589,48.4,67.0,24.3,5.9,9.5,159,Balanced
381,49.6,7.8,37.7,4.9,1.5,85,Balanced
161,30.4,72.8,31.4,7.3,38.4,934,Unbalanced
57,22.3,10.4,14.3,10.0,11.1,935,Unbalanced
499,36.6,74.4,34.6,8.8,18.0,976,Balanced
412,41.9,5.5,14.4,4.5,27.4,816,Balanced
575,38.4,94.0,1.1,4.7,45.4,343,Balanced
362,47.2,47.7,23.9,1.7,17.2,174,Unbalanced
492,34.3,27.1,16.6,8.4,45.6,950,Balanced
470,16.2,51.4,24.2,6.1,31.0,865,Balanced
509,45.5,72.6,40.7,9.2,39.5,311,Balanced
296,6.8,20.6,11.5,1.2,39.8,107,Unbalanced
181,6.6,12.9,45.2,2.1,33.0,98,Unbalanced
572,40.1,49.7,14.9,2.6,40.3,208,Balanced
507,48.2,79.6,15.5,9.5,8.5,530,Balanced
346,36.7,47.9,34.7,4.0,34.9,107,Balanced
537,44.4,28.2,17.5,7.0,30.7,597,Balanced
425,23.1,30.9,9.2,8.2,36.4,201,Balanced
560,36.1,15.1,12.3,8.0,28.1,530,Balanced
148,39.3,67.7,18.2,4.0,42.6,469,Unbalanced
322,36.0,56.7,21.1,0.9,31.1,645,Unbalanced
240,21.4,78.0,14.2,9.0,1.1,17,Balanced
144,45.2,42.2,1.5,8.3,41.1,122,Unbalanced
450,18.1,14.7,25.8,9.7,6.7,761,Balanced
467,4.5,95.5,49.5,8.9,28.9,577,Unbalanced
309,22.2,7.9,35.6,9.7,41.2,38,Balanced
594,15.2,21.0,2.0,4.1,39.2,800,Balanced
527,35.9,52.3,35.1,2.7,34.0,783,Unbalanced
304,18.6,75.8,49.8,3.6,10.8,817,Balanced
235,12.4,83.2,47.4,6.6,33.0,468,Balanced
176,36.5,70.7,14.9,3.0,41.7,370,Unbalanced
484,13.6,69.1,30.8,3.6,10.5,373,Balanced
131,34.6,12.5,17.0,3.8,31.7,704,Unbalanced
543,29.7,67.8,7.0,3.6,14.7,835,Balanced
89,2.4,11.3,18.7,9.4,10.4,885,Balanced
359,10.8,54.5,8.7,4.3,46.7,712,Balanced
342,18.9,9.8,5.0,4.0,22.9,907,Balanced
50,18.4,11.1,29.6,2.8,22.1,446,Unbalanced
403,47.1,45.8,38.6,0.7,23.3,259,Unbalanced
267,43.6,16.8,17.4,5.3,8.5,266,Unbalanced
537,50.0,96.3,23.6,5.4,42.6,142,Unbalanced
519,14.5,38.5,20.7,1.0,18.4,889,Unbalanced
168,34.5,57.5,9.2,4.2,43.7,108,Unbalanced
122,17.1,70.4,21.0,6.4,5.8,196,Unbalanced
153,46.7,91.0,45.0,7.0,49.7,494,Unbalanced
263,33.4,9.3,17.1,7.8,25.4,17,Unbalanced
253,11.5,43.5,21.7,6.3,45.4,335,Balanced
488,4.6,68.8,47.2,7.1,26.1,85,Balanced
565,48.7,54.6,2.9,0.4,7.0,388,Balanced
179,1.4,47.7,20.3,4.8,27.0,595,Unbalanced
213,17.3,35.9,7.1,4.1,43.6,12,Balanced
355,44.5,70.5,37.4,8.3,27.1,36,Unbalanced
178,28.0,64.6,35.4,8.3,35.3,672,Unbalanced
530,36.3,58.0,32.3,8.4,21.7,93,Balanced
417,7.7,97.6,39.2,8.8,5.7,292,Balanced
365,29.1,67.1,28.2,4.8,41.3,810,Balanced
140,19.1,38.6,30.2,7.1,12.6,766,Unbalanced
106,38.9,16.9,33.7,3.4,32.7,589,Balanced
410,23.9,51.4,16.1,2.2,14.5,783,Balanced
223,30.1,20.9,15.6,6.7,18.0,896,Unbalanced
160,41.1,34.7,14.7,4.6,8.6,341,Unbalanced
224,22.3,28.7,10.1,3.8,25.7,656,Balanced
336,40.8,71.1,46.9,3.5,37.1,646,Unbalanced
343,41.8,62.8,19.3,4.2,33.0,666,Unbalanced
454,43.4,82.9,5.8,7.2,14.7,440,Unbalanced
199,6.2,52.4,9.0,6.3,1.1,676,Balanced
444,28.6,77.5,9.6,1.7,6.9,698,Balanced
139,7.0,73.1,3.1,3.9,10.0,768,Balanced
121,8.7,55.9,10.3,1.1,26.0,745,Unbalanced
287,2.2,91.8,31.5,9.1,26.9,592,Unbalanced
541,6.7,87.7,4.4,0.8,41.8,187,Unbalanced
593,17.9,53.9,9.9,2.1,33.4,980,Unbalanced
311,21.3,67.6,5.8,7.6,44.3,328,Balanced
587,20.4,84.3,36.7,5.6,36.2,321,Balanced
391,12.6,20.4,2.2,5.9,11.4,10,Balanced
79,10.0,89.4,12.9,7.7,29.8,164,Unbalanced
67,27.7,41.9,38.4,5.3,36.9,459,Unbalanced
587,5.5,54.5,47.4,1.8,8.7,41,Unbalanced
136,33.7,37.7,42.0,4.3,15.2,540,Unbalanced
561,45.4,56.8,31.8,8.2,35.5,318,Balanced
447,9.0,40.7,34.6,7.8,40.1,905,Unbalanced
204,25.4,18.2,45.1,9.1,27.0,46,Unbalanced
570,39.6,83.5,16.8,8.0,44.6,602,Balanced
521,18.6,46.2,36.0,3.6,27.6,613,Balanced
481,29.2,12.5,9.7,7.6,34.5,42,Balanced
369,38.2,16.8,4.1,6.9,4.1,70,Balanced
568,2.3,11.8,16.2,5.0,22.7,90,Balanced
172,6.9,25.7,29.1,7.2,45.5,509,Balanced
201,41.0,12.7,47.1,0.8,19.1,115,Unbalanced
404,12.1,33.3,4.5,6.4,20.4,127,Balanced
531,20.0,12.3,30.3,9.9,38.1,194,Balanced
115,8.7,6.7,35.1,4.7,26.0,261,Balanced
59,36.3,13.9,26.9,5.7,8.8,916,Unbalanced
481,38.6,36.8,12.2,8.1,22.2,263,Balanced
328,6.8,85.3,17.0,8.1,40.8,607,Unbalanced
358,27.3,37.5,16.7,0.3,47.1,703,Unbalanced
530,43.6,18.1,10.5,7.1,1.0,26,Balanced
95,37.2,81.9,20.7,6.1,19.8,722,Unbalanced
384,7.1,96.4,40.0,6.5,20.2,734,Unbalanced
103,30.2,70.8,42.0,4.6,8.4,6,Unbalanced
289,14.0,52.9,17.1,2.9,6.5,53,Balanced
551,35.6,13.8,4.0,8.2,21.5,134,Balanced
497,18.0,70.8,42.8,9.5,30.5,665,Balanced
414,22.0,67.8,8.4,2.2,2.2,648,Balanced
205,1.1,10.5,28.1,6.4,21.8,937,Unbalanced
574,20.4,92.9,35.0,3.9,44.0,49,Balanced
433,40.5,34.5,28.7,8.3,44.0,957,Unbalanced
546,12.3,52.9,37.8,9.2,24.2,183,Unbalanced
410,16.9,15.1,4.0,7.5,9.2,10,Balanced
79,18.1,74.7,19.7,0.2,46.6,270,Unbalanced
500,18.8,10.5,18.6,7.9,2.5,966,Balanced
425,25.3,83.8,7.4,8.6,25.1,206,Balanced
113,21.4,27.1,29.3,5.1,47.2,304,Unbalanced
185,2.4,71.1,34.1,3.1,41.3,250,Unbalanced
559,26.3,63.2,33.1,4.1,5.6,502,Balanced
482,37.1,27.2,11.9,7.7,22.0,173,Balanced
542,16.6,42.3,28.8,2.2,28.3,700,Unbalanced
300,9.5,61.5,19.0,10.0,3.2,829,Balanced
485,26.2,34.1,17.9,0.7,12.5,399,Balanced
71,6.7,90.0,31.2,2.6,22.0,372,Unbalanced
181,43.1,87.1,38.2,2.7,18.4,76,Unbalanced
330,20.2,83.1,49.8,6.9,27.9,836,Balanced
249,11.4,13.3,28.6,1.7,1.7,535,Balanced
224,41.5,78.3,24.6,6.9,17.7,70,Unbalanced
246,15.1,97.7,27.5,2.1,28.2,367,Unbalanced
499,26.9,25.2,26.7,7.1,21.0,645,Balanced
194,6.2,80.8,32.6,8.9,21.6,334,Balanced
194,17.4,59.6,46.6,6.1,24.0,50,Unbalanced
200,21.8,28.4,34.2,5.2,20.9,511,Balanced
244,10.6,74.4,34.2,0.1,41.5,668,Unbalanced
185,22.3,10.4,17.3,6.9,1.7,993,Balanced
219,25.9,65.9,17.3,7.3,14.9,576,Unbalanced
403,8.8,78.3,5.7,4.9,38.6,60,Unbalanced
214,10.9,86.3,2.6,1.4,40.3,977,Unbalanced
190,16.4,92.3,47.8,3.8,2.9,870,Balanced
157,21.7,10.6,33.8,8.2,0.9,822,Balanced
550,49.2,88.3,12.2,0.1,32.3,69,Unbalanced
319,32.4,86.4,46.9,5.5,17.4,601,Unbalanced
68,45.2,73.9,13.9,0.5,28.8,275,Unbalanced
519,5.9,45.5,41.7,7.8,9.0,319,Balanced
570,39.2,35.6,13.0,4.3,0.6,539,Balanced
406,30.3,95.8,42.4,2.6,44.0,752,Unbalanced
589,11.2,16.5,43.0,9.4,15.6,758,Unbalanced
60,34.9,9.3,22.7,7.3,27.8,192,Balanced
532,16.0,25.4,40.8,4.5,49.4,505,Balanced
458,36.9,94.6,5.7,7.6,29.9,498,Balanced
377,49.9,42.9,33.6,7.7,15.7,108,Balanced
563,9.5,18.2,16.6,6.7,25.6,108,Balanced
204,49.6,75.5,22.6,9.9,7.6,620,Unbalanced
218,37.1,98.1,18.2,1.3,18.7,97,Unbalanced
369,33.1,16.9,5.7,5.6,18.3,517,Unbalanced
463,44.9,6.3,33.4,6.7,26.5,987,Unbalanced
487,16.8,17.6,32.3,7.2,36.3,661,Balanced
84,30.6,38.8,15.5,5.3,14.6,110,Unbalanced
156,1.0,83.5,16.8,1.7,16.6,331,Unbalanced
202,11.9,23.5,28.3,4.4,49.5,559,Balanced
558,40.3,45.0,15.8,6.2,20.7,608,Balanced
499,42.8,65.0,1.6,9.3,45.3,871,Balanced
519,28.6,52.9,43.1,1.7,20.3,922,Unbalanced
235,29.0,85.4,26.3,7.3,47.9,257,Unbalanced
295,34.1,27.1,42.6,7.8,49.9,178,Unbalanced
323,25.0,94.3,31.2,5.3,13.3,447,Balanced
245,46.1,9.8,48.3,3.2,19.3,0,Unbalanced
407,15.5,86.6,31.3,0.7,26.4,782,Unbalanced
485,47.9,16.0,24.1,4.8,38.4,743,Unbalanced
427,25.1,40.9,1.4,9.8,6.8,670,Balanced
277,15.7,8.9,45.6,6.4,34.1,617,Balanced
493,31.6,59.5,34.0,4.9,8.6,499,Balanced
338,5.4,99.3,23.2,5.2,32.1,733,Unbalanced
574,14.9,51.5,29.4,6.8,43.8,266,Balanced
514,14.9,93.4,20.3,7.1,17.1,11,Balanced
62,5.7,50.0,37.8,8.3,35.3,202,Unbalanced
196,7.7,23.9,26.9,5.6,26.3,647,Balanced
92,45.0,37.3,17.3,9.5,36.5,169,Unbalanced
326,47.2,71.9,9.2,6.0,19.6,758,Balanced
417,46.8,31.9,27.1,7.6,40.3,583,Unbalanced
465,32.7,23.0,3.4,9.0,31.8,661,Balanced
410,27.7,75.2,7.6,1.6,49.2,747,Unbalanced
165,31.6,68.0,30.3,0.8,23.4,626,Unbalanced
440,41.6,50.8,35.1,7.5,43.7,249,Balanced
501,10.5,84.7,30.9,9.7,19.5,419,Unbalanced
337,38.0,87.7,42.0,5.2,37.3,806,Unbalanced
492,2.5,80.1,31.2,0.9,47.9,655,Unbalanced
159,45.1,40.7,36.0,9.6,22.8,938,Unbalanced
481,9.1,20.9,42.8,8.6,42.9,392,Unbalanced
60,23.9,18.5,34.0,4.4,2.1,293,Unbalanced
561,36.7,35.5,12.6,0.8,25.1,458,Balanced
580,23.6,15.6,49.9,5.3,44.9,996,Balanced
515,37.6,41.0,44.2,9.7,21.7,100,Balanced
406,40.0,17.9,10.4,2.7,7.5,241,Balanced
344,24.3,26.3,4.7,3.0,17.1,966,Balanced
98,4.6,32.7,34.9,5.7,38.0,898,Balanced
141,40.7,81.6,44.6,5.3,40.5,6,Unbalanced
138,29.8,6.3,7.6,1.1,23.4,545,Unbalanced
256,16.3,75.0,37.9,9.1,6.1,262,Balanced
267,30.4,70.3,25.9,8.1,46.2,172,Unbalanced
488,21.7,82.1,15.0,0.8,30.6,107,Balanced
364,28.6,39.7,25.3,9.2,25.9,523,Balanced
521,34.8,36.9,43.0,2.8,26.3,565,Unbalanced
437,10.4,71.6,19.1,1.7,16.2,992,Unbalanced
588,46.6,14.1,14.9,3.2,36.2,992,Balanced
470,13.1,93.5,29.9,4.8,33.9,699,Balanced
343,1.6,47.7,24.5,1.1,0.5,41,Balanced
311,7.7,58.2,39.0,3.6,26.7,534,Unbalanced
413,39.6,56.8,29.1,7.5,48.3,933,Balanced
336,15.2,11.1,1.1,1.8,3.4,856,Balanced
141,19.8,8.2,46.5,9.0,18.3,803,Unbalanced
268,35.6,30.5,17.7,8.1,34.4,851,Balanced
287,44.7,76.7,28.5,7.3,30.0,586,Unbalanced
473,13.4,16.8,28.8,1.6,37.3,187,Unbalanced
359,36.7,37.8,32.2,6.7,45.7,638,Unbalanced
405,4.1,9.4,41.6,7.7,12.5,562,Unbalanced
353,33.2,64.3,44.3,2.7,18.2,739,Unbalanced
531,46.9,73.7,21.9,8.0,22.5,432,Balanced
169,29.7,41.7,35.5,4.0,23.2,501,Unbalanced
328,32.3,75.8,3.3,8.0,17.2,956,Unbalanced
192,29.7,11.9,3.5,6.7,41.2,739,Unbalanced
80,28.8,79.4,31.2,9.4,37.5,494,Unbalanced
180,35.6,35.4,46.9,1.7,18.3,805,Unbalanced
206,17.2,28.1,48.7,0.7,2.3,612,Balanced
563,16.3,91.7,26.9,3.7,49.9,882,Balanced
363,16.2,12.3,5.6,9.6,22.7,197,Balanced
299,17.1,44.3,31.7,3.0,9.0,284,Balanced
300,45.3,39.1,10.8,5.4,7.2,356,Balanced
423,18.7,82.2,32.3,3.3,29.5,88,Balanced
546,6.8,64.7,27.3,0.9,1.9,895,Balanced
520,18.3,77.9,40.6,2.5,21.5,391,Balanced
528,21.3,7.8,6.2,2.7,13.8,8,Unbalanced
570,14.1,7.1,15.8,9.4,5.9,215,Balanced
549,25.0,23.7,38.6,2.6,17.1,715,Unbalanced
84,40.5,18.7,23.7,3.6,49.0,980,Unbalanced
475,20.0,34.8,2.4,4.6,48.4,145,Balanced
186,22.6,52.6,27.7,4.3,39.5,129,Unbalanced
435,44.1,56.3,40.6,6.0,30.4,297,Balanced
196,23.3,26.2,6.2,8.8,26.5,701,Balanced
589,12.5,88.7,27.8,2.6,27.5,859,Unbalanced
166,33.4,81.9,19.9,9.0,43.6,970,Unbalanced
214,12.0,18.8,25.0,10.0,0.4,769,Balanced
261,27.5,75.7,24.3,4.8,24.9,33,Unbalanced
396,18.0,55.3,40.3,8.9,1.5,221,Balanced
552,23.2,35.8,16.7,0.2,14.9,510,Balanced
407,45.3,13.7,25.4,3.1,11.4,653,Unbalanced
178,49.0,74.3,27.9,0.9,40.8,546,Unbalanced
569,26.7,36.3,32.6,7.9,9.0,639,Balanced
115,18.1,54.5,12.0,0.4,8.2,287,Unbalanced
457,21.6,83.9,9.8,7.6,3.0,205,Balanced
512,24.8,38.9,28.9,6.6,12.7,74,Balanced
259,37.0,8.8,4.0,9.9,24.3,866,Unbalanced
392,3.7,93.0,6.7,5.2,10.6,861,Unbalanced
398,27.4,56.2,32.3,8.8,29.7,178,Balanced
304,10.9,15.0,21.6,1.1,18.8,341,Unbalanced
479,45.6,83.8,32.4,5.3,6.5,749,Balanced
62,6.6,36.2,14.2,2.0,46.6,317,Unbalanced
431,24.6,25.2,39.1,4.4,13.9,678,Balanced
167,42.4,13.4,43.1,4.4,3.3,130,Balanced
333,39.3,71.0,25.3,8.2,11.4,968,Unbalanced
434,46.2,97.4,19.9,7.1,27.9,649,Unbalanced
374,41.6,44.0,4.3,2.1,5.0,69,Balanced
443,22.0,47.8,23.9,9.9,40.4,807,Balanced
79,29.7,24.8,13.8,5.6,49.6,289,Unbalanced
432,13.1,55.6,44.5,7.9,10.5,819,Balanced
592,40.8,73.2,18.5,4.6,42.8,228,Balanced
207,35.9,94.1,27.7,0.9,22.8,937,Unbalanced
51,31.1,53.4,24.0,4.0,45.2,729,Unbalanced
475,14.4,58.1,40.4,0.6,47.2,776,Balanced
353,35.2,88.1,49.6,9.1,6.7,342,Balanced
101,14.4,74.2,16.0,6.9,1.2,905,Balanced
402,23.0,57.0,13.4,7.9,0.6,746,Balanced
425,19.9,64.0,5.3,0.7,49.9,843,Balanced
251,8.1,35.9,5.4,5.6,13.4,100,Balanced
501,4.2,55.0,16.5,5.4,32.6,940,Balanced
495,43.9,17.5,34.0,6.7,19.5,472,Unbalanced
221,40.7,5.1,32.6,8.8,0.7,879,Balanced
128,39.9,45.4,31.3,3.1,6.3,34,Unbalanced
110,31.9,44.1,22.5,6.7,33.2,957,Unbalanced
231,41.3,10.8,45.7,2.7,8.7,804,Unbalanced
185,44.0,62.8,8.8,7.3,47.3,517,Unbalanced
294,11.3,51.4,28.0,9.9,28.5,509,Balanced
90,43.1,85.0,30.7,9.7,28.8,209,Unbalanced
397,33.5,26.0,37.7,8.4,21.1,838,Balanced
386,5.3,5.6,8.4,0.9,32.0,542,Unbalanced
309,32.6,16.0,4.2,1.3,34.4,75,Unbalanced
507,30.6,78.6,43.3,0.6,43.0,519,Balanced
190,44.5,41.1,20.3,6.9,33.0,157,Unbalanced
253,22.1,47.4,35.6,0.1,5.4,327,Balanced
86,18.8,73.0,42.5,3.8,1.8,344,Balanced
380,24.2,16.7,8.0,6.2,47.8,613,Balanced
101,17.8,22.5,2.8,1.4,34.1,572,Unbalanced
583,47.3,27.3,8.5,3.0,45.9,79,Balanced
570,49.9,71.1,5.3,4.3,43.3,517,Balanced
509,8.7,89.4,46.1,3.1,45.6,542,Unbalanced
328,19.6,97.2,39.0,7.8,30.3,347,Balanced
72,34.5,92.9,27.7,10.0,49.2,783,Unbalanced
374,1.8,19.8,21.2,9.7,9.1,501,Balanced
478,47.8,78.7,12.8,0.5,28.5,636,Unbalanced
477,46.6,32.6,47.6,0.5,22.3,70,Unbalanced
473,11.9,59.4,11.9,1.7,39.5,146,Balanced
497,30.9,76.4,24.9,5.7,8.6,249,Balanced
80,7.0,48.9,28.0,8.6,3.6,818,Balanced
515,24.8,30.7,44.1,9.5,12.8,358,Balanced
80,18.0,70.5,36.9,5.6,1.9,158,Balanced
55,25.0,84.2,42.2,2.7,42.6,145,Unbalanced
383,4.2,26.8,49.2,0.2,25.9,687,Unbalanced
184,22.1,42.3,3.8,3.9,5.5,49,Unbalanced
464,22.7,63.5,23.7,6.2,37.3,327,Balanced
306,30.0,84.7,25.3,4.6,49.7,905,Unbalanced
481,43.6,66.3,4.9,3.9,1.7,487,Balanced
436,46.7,95.1,14.0,10.0,39.9,426,Balanced
194,17.2,84.9,22.0,8.5,5.0,490,Unbalanced
111,4.2,38.7,20.0,7.5,6.9,743,Balanced
252,29.9,33.2,16.1,0.7,33.6,603,Unbalanced
285,5.8,60.7,32.2,2.9,1.9,924,Unbalanced
520,46.7,54.6,44.2,7.6,45.0,609,Unbalanced
456,29.4,13.6,9.3,6.4,4.4,408,Balanced
107,38.3,78.7,47.4,7.5,39.3,315,Unbalanced
584,31.8,21.0,34.6,1.3,0.0,911,Balanced
118,7.9,62.0,22.9,4.9,30.2,63,Balanced
520,20.3,19.3,42.6,2.9,18.8,303,Unbalanced
564,44.9,98.5,4.2,1.9,23.5,38,Unbalanced
106,8.1,61.7,34.2,3.1,11.8,815,Balanced
95,5.7,54.7,15.3,0.1,38.3,548,Unbalanced
410,14.5,28.7,34.0,2.8,43.8,44,Unbalanced
93,11.6,18.4,28.0,4.7,16.3,974,Unbalanced
534,17.0,89.5,23.8,9.4,15.2,628,Balanced
569,27.0,19.1,14.6,1.8,12.6,72,Balanced
338,14.2,46.8,29.0,6.6,9.2,284,Balanced
285,38.0,25.8,6.9,0.5,45.2,555,Unbalanced
64,3.4,75.9,26.7,5.0,31.1,414,Balanced
363,11.8,10.4,7.8,6.4,29.0,4,Balanced
227,24.0,82.0,6.6,2.7,43.7,934,Unbalanced
236,17.0,26.4,14.3,5.1,19.6,908,Balanced
169,45.8,33.5,8.8,9.7,44.4,959,Unbalanced
214,12.7,58.5,35.7,6.4,19.5,404,Balanced
518,9.2,90.4,11.8,2.7,40.9,596,Unbalanced
353,49.1,56.4,45.3,3.4,43.9,326,Balanced
134,1.6,17.2,12.6,2.6,13.5,100,Unbalanced
151,12.4,85.9,21.2,4.8,3.4,498,Balanced
521,44.6,31.1,26.4,4.1,12.9,290,Balanced
270,16.8,64.3,34.3,0.7,21.4,619,Unbalanced
125,17.0,76.3,30.6,4.1,42.8,564,Unbalanced
279,49.1,27.3,42.7,8.2,24.2,356,Unbalanced
128,22.0,41.6,24.5,9.5,40.3,251,Unbalanced
311,15.8,26.3,16.1,5.8,15.4,183,Balanced
156,35.6,92.1,16.4,3.5,32.9,552,Unbalanced
315,39.7,12.5,20.2,4.5,19.5,104,Unbalanced
257,38.6,30.7,7.9,9.3,30.5,186,Balanced
297,5.2,76.2,40.2,3.5,32.8,499,Unbalanced
442,16.4,8.4,20.0,2.7,18.2,519,Unbalanced
476,20.2,91.5,19.3,4.5,24.2,162,Balanced
560,18.4,75.7,4.5,8.5,47.3,702,Balanced
399,13.7,97.5,23.9,3.7,32.7,677,Balanced
392,29.5,97.4,48.0,5.0,24.8,909,Balanced
76,33.3,42.1,32.4,1.4,13.1,971,Unbalanced
461,14.0,79.3,34.8,3.0,43.6,614,Balanced
297,34.1,19.6,24.7,2.4,16.1,19,Unbalanced
195,2.7,28.8,8.2,6.4,7.2,24,Balanced
292,32.7,99.4,9.3,9.4,18.7,409,Balanced
344,7.0,44.8,23.6,9.7,49.0,80,Balanced
417,41.9,35.1,15.0,7.7,25.5,788,Balanced
158,2.2,29.2,7.2,8.4,19.1,452,Unbalanced
170,46.1,21.9,14.9,5.2,15.2,398,Balanced
62,16.1,62.7,4.8,2.4,20.0,499,Unbalanced
445,9.5,61.3,4.6,8.5,14.1,34,Balanced
186,35.2,55.9,44.4,2.1,40.1,14,Unbalanced
279,43.1,9.6,26.1,4.1,24.5,145,Unbalanced
295,41.4,96.1,40.5,9.1,10.0,190,Unbalanced
454,2.2,58.1,37.4,7.9,17.7,473,Balanced
57,24.6,23.8,42.6,8.9,32.4,634,Unbalanced
269,46.9,78.5,27.7,2.4,5.3,699,Unbalanced
583,11.1,56.9,24.7,5.3,32.7,199,Unbalanced
54,45.8,81.1,1.4,7.3,6.5,116,Balanced
274,49.4,63.0,6.9,5.6,30.4,119,Balanced
577,21.2,21.4,34.3,10.0,6.6,622,Balanced
423,36.6,10.4,1.7,2.0,14.0,582,Unbalanced
80,21.4,95.9,6.7,5.3,10.3,523,Unbalanced
79,8.0,86.9,25.0,5.3,20.1,792,Unbalanced
70,13.2,30.5,48.0,7.5,46.6,845,Unbalanced
197,5.2,95.7,11.8,2.4,16.7,159,Unbalanced
247,29.7,45.8,34.2,5.0,27.4,482,Unbalanced
163,22.5,57.6,46.7,0.7,13.3,152,Unbalanced
525,28.7,37.9,20.6,3.3,32.3,471,Balanced
367,41.3,61.6,34.2,2.9,1.1,974,Unbalanced
589,46.5,84.5,23.6,4.4,47.1,435,Balanced
446,18.8,42.0,11.3,1.8,17.4,194,Balanced
433,14.4,49.1,18.0,3.6,37.0,620,Balanced
377,36.7,28.8,4.4,6.7,7.4,892,Balanced
